,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,25346.442579000002,2097233.560958738
std,72.67107588043108,6013.002367980917
min,25128.457,2079196.8415785362
25%,25302.53925,2093600.8801701176
50%,25343.3255,2096975.6453687856
75%,25385.74525,2100485.5707979733
90%,25428.1453,2103993.8661956084
95%,25453.28005,2106073.583737114
99%,25498.3529,2109803.0338725103
max,26278.264,2174334.9984030835
