,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,21225.614987,1756265.0839059656
std,288.56609754619114,23876.743351359943
min,21002.193,1737778.5413494683
25%,21101.836,1746023.274039797
50%,21161.226499999997,1750937.4054574072
75%,21261.78325,1759257.7443066807
90%,21385.332000000002,1769480.5037375917
95%,21554.07785,1783442.99408666
99%,22391.213860000003,1852709.9032312864
max,26205.116,2168282.534036975
