,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,55.466561,4589.454037883154
std,8.58209746619078,710.106073995034
min,42.209,3492.487401283272
25%,49.25925,4075.844251739274
50%,53.3345,4413.041514931476
75%,59.40475,4915.310501347638
90%,65.756,5440.830191636447
95%,69.45549999999997,5746.93687838684
99%,84.48728999999999,6990.708045525032
max,126.78900000000002,10490.866524231911
