,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,555.492389,45962.95032081419
std,94.88515065453822,7851.055301709112
min,474.166,39233.78381664772
25%,526.9227500000001,43599.02072601898
50%,540.4255,44716.274967002595
75%,557.76025,46150.59930492568
90%,581.2599,48095.02422756223
95%,608.698,50365.327209512776
99%,1023.9023899999996,84720.46713304814
max,1718.4950000000001,142192.94787055597
