,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,181.64184100000003,15029.539700973708
std,70.15135991897948,5804.514219714377
min,50.376,4168.247182521408
25%,121.40400000000001,10045.296985604833
50%,190.7005,15779.077771764802
75%,222.75424999999998,18431.292181935234
90%,253.3411,20962.131298472963
95%,285.4681999999999,23620.414887038613
99%,346.92582999999996,28705.58626015167
max,956.294,79126.36515725995
