,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,128.816364,10658.616132794428
std,120.94927081512402,10007.67145670874
min,49.659,4108.9206534228715
25%,87.8565,7269.485639812451
50%,114.219,9450.790553843352
75%,137.829,11404.346135456231
90%,167.98999999999998,13899.94926535992
95%,203.14749999999995,16808.976387789175
99%,573.0490799999998,47415.638660403434
max,2054.837,170022.79926533945
