,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,37848.01739,3131647.845201857
std,218.00826138205105,18038.596182152727
min,37655.651999999995,3115731.0099056414
25%,37755.92525,3124027.891194247
50%,37800.4155,3127709.135421898
75%,37861.631,3132774.2723006033
90%,37983.8667,3142888.386405108
95%,38130.30535,3155005.1183861056
99%,38652.771199999996,3198235.363090452
max,41177.687999999995,3407153.84287648
