,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,21806.323064999997,1804314.4488811702
std,1352.4213072391876,111903.01539387132
min,21488.481,1778015.3323986582
25%,21644.77025,1790947.1298016054
50%,21701.43,1795635.311540923
75%,21807.509000000002,1804412.5763669256
90%,21945.9822,1815870.2253615803
95%,22107.77755,1829257.6124463538
99%,22671.24448,1875880.3979675646
max,63414.795,5247112.525586045
