,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,25472.509560999995,2107664.6857509105
std,363.2276579716912,30054.44382154898
min,25174.900999999998,2083039.7443922772
25%,25303.15825,2093652.0979128121
50%,25389.883,2100827.939481066
75%,25504.038,2110273.4345009318
90%,25645.2471,2121957.4592988784
95%,25957.4278,2147788.139051391
99%,27313.353559999996,2259981.122393224
max,29578.796000000002,2447429.9882756765
