,anchor_measured_rtt_us,calibrated_distance_m
count,1000.0,1000.0
mean,5485436065370399.0,1300595.943750733
std,6092017422822857.0,1571030.1656225256
min,0.0,0.0
25%,38578.06725,0.0
50%,3128921175449500.0,0.0
75%,1.05227151866381e+16,3184121.0729501923
90%,1.5367512403845232e+16,3197082.740474485
95%,1.6693167119044396e+16,3203834.765564781
99%,1.8061035259399636e+16,3247147.398848701
max,1.8438847157329096e+16,4017282.9273005747
